gene,log2FC,pvalue,padj
RPL36AL,-0.5968162456695847,4.568139297010894e-43,6.616492957790579e-39
MRPL51,-0.4192611092091916,7.724301496622353e-40,5.593939143853908e-36
NDUFA1,-0.8038394676032841,7.102418204997284e-38,3.429047509372689e-34
CETN2,-0.2579554279494616,1.8254533616998735e-35,6.609966622715241e-32
RPS25,-0.5943915812358576,1.337651039818842e-34,3.8749075321472214e-31
NDUFS5,-0.6655535653948164,3.426541306590294e-33,8.27167071410897e-30
COX17,-0.39085702413431633,8.199448684789453e-32,1.6965830678641492e-28
RPA3,-0.3405903737626357,1.2103778997188401e-30,2.19138918744096e-27
RPS27A,-0.4851937087190592,2.7292500782390948e-30,4.392273125912783e-27
ATP6V1E1,-0.32656187336737297,1.0877888196636746e-29,1.575553326400866e-26
UFC1,-0.3000588792817247,2.4714491331256697e-29,3.254224476744745e-26
UQCRH,-0.3326160184748934,4.5768584553201435e-29,5.524268155571414e-26
ATP5O,-0.5436405349308693,3.3950757596157027e-28,3.782636715559526e-25
MRPL33,-0.2577726731563956,4.968049861449963e-28,5.139802442374375e-25
SHFM1,-0.3627453669617786,8.704794649858322e-28,8.405349713903196e-25
ATP5EP2,-0.4953835867122418,3.8841852663921596e-26,3.5161587124015025e-23
MRPS17,-0.15032968176168637,9.976290549157687e-26,8.499799547882349e-23
PRDX1,-0.28776338796286005,1.9676646697523627e-25,1.5833141709274013e-22
SNRPB2,-0.23261024087584659,2.3668053142891377e-25,1.8042530616928353e-22
RPF2,-0.2693964258913386,2.5357198718951485e-25,1.8363683312264665e-22
CWC15,-0.2702944035509649,3.519190944927192e-25,2.4272362688726403e-22
PPIAL4A,-0.3448537470289512,3.915947260369703e-25,2.578117278145217e-22
ATP5I,-0.2829149796572885,5.590376950547096e-25,3.5204791196401803e-22
AIF1,-0.47524044049366054,6.077310689310082e-25,3.6676570009986344e-22
ATP6V1D,-0.3284945254270468,2.0149700019630324e-23,1.1224932887858678e-20
DNAJA1,-0.47695944973294147,1.997530377425085e-23,1.1224932887858678e-20
ENY2,-0.48014531216235223,3.1664354196518477e-23,1.6986166895643467e-20
GTF2H5,-0.2777592477720052,3.53512804461227e-23,1.7656136068332454e-20
ARPC3,-0.378317253852158,3.470297528104673e-23,1.7656136068332454e-20
TOMM7,-0.780605540782835,7.532484504179752e-23,3.611953745606481e-20
ATP5J,-0.4279361298429567,7.730638367426187e-23,3.611953745606481e-20
SNTB2,0.14258254705026996,1.1930139178306583e-22,5.3998792455810173e-20
TBCA,-0.43302761724879524,1.6564047076056895e-22,7.270110843927518e-20
GTF2B,-0.28820206847564744,1.9878335712080305e-22,8.260150735061086e-20
HSPE1,-0.2995531378985943,1.9960320058487847e-22,8.260150735061086e-20
GIMAP7,-0.2815611639346507,2.507010610505623e-22,1.0086539356267623e-19
UQCRHL,-0.4310025407389535,7.084053811023525e-22,2.7731198756449927e-19
NSA2,-0.3826287644848563,9.312973760712845e-22,3.549713472372759e-19
UCHL3,-0.186666614038983,9.580986581073247e-22,3.558231016417049e-19
TCIRG1,0.13255226888369975,1.1711200787074546e-21,4.240625804999693e-19
RPL6,-0.2814400753603117,1.229953930686748e-21,4.345037251723624e-19
LDHB,-0.3938751725348162,1.2939954211475131e-21,4.462435638071567e-19
RPS24,-0.5095813047461082,1.350552993080858e-21,4.549165012042593e-19
OARD1,-0.180117010487721,1.6248692713438398e-21,5.229912561365372e-19
LSM5,-0.1835250901628207,1.5986861003294739e-21,5.229912561365372e-19
SRP19,-0.23876821484704092,1.8104677432600316e-21,5.700611911603978e-19
CCDC53,-0.2808993531833712,1.8862167451470875e-21,5.812758156746896e-19
SSB,-0.24216521236736455,2.318666591028112e-21,6.996576438427328e-19
NGDN,-0.13986710779855382,2.688164822871842e-21,7.945995774382808e-19
PSMA3,-0.24786856392340884,3.674182241200342e-21,1.0643371116309152e-18
MYL12B,-0.3146190381394707,3.9956038697645155e-21,1.1129293548013317e-18
ZMAT2,-0.39130259501126474,3.94182982788527e-21,1.1129293548013317e-18
GNL2,-0.1937197650108713,6.120602267629851e-21,1.6726566649877502e-18
SOD1,-0.31776297881081916,1.0711749521877476e-20,2.873129260645803e-18
CREBRF,0.24311294406743755,1.1983019149163823e-20,3.1556736246634326e-18
DRG1,-0.1417335052893911,1.3236389223374243e-20,3.423497526988438e-18
RPL11,-0.43041628595660164,1.4353744693759434e-20,3.6473620727089765e-18
EIF3E,-0.506365454113034,1.4831809733950692e-20,3.703860899767962e-18
DNAJC8,-0.2672941244419196,1.891244871378575e-20,4.642845884245302e-18
BTF3,-0.2058504443558089,2.239137203999566e-20,5.405277210454953e-18
MRPS33,-0.14963599942629902,2.3349693596783028e-20,5.544212492718121e-18
IGBP1,-0.2442053454152262,2.4198083390995547e-20,5.652984513470638e-18
SSBP1,-0.22160153792337134,3.1253140120675796e-20,7.127564355922532e-18
ATP5F1,-0.27746994535871394,3.1494346781209756e-20,7.127564355922532e-18
